text,input_ids,attention_mask,label,exp,idx_example,OPT_prob_CD,OPT_idx_CD
['{The chief complaint of reformers these days is that the power of special-interest money is breeding public cynicism about the political process.} question: {Reformers never complain about special interest money.  } Yes or No? answer: Ġ'],"[[2, 45152, 133, 834, 3674, 9, 3114, 268, 209, 360, 16, 14, 5, 476, 9, 780, 12, 15979, 418, 16, 16828, 285, 39245, 59, 5, 559, 609, 49463, 864, 35, 25522, 9064, 3899, 268, 393, 11316, 59, 780, 773, 418, 4, 1437, 35524, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[1],"[[0.52197265625, 0.47119140625, 0.0004665851593017578, 0.000400543212890625, 0.0003380775451660156, 0.00030303001403808594, 0.00020766258239746094, 0.00020754337310791016, 0.00020682811737060547, 0.0002009868621826172, 0.00017595291137695312, 0.00016391277313232422, 0.00011771917343139648, 0.00011587142944335938, 0.0001137852668762207, 0.00010585784912109375, 0.00010001659393310547, 9.560585021972656e-05, 7.68899917602539e-05, 7.086992263793945e-05, 6.794929504394531e-05, 6.783008575439453e-05, 6.580352783203125e-05, 6.389617919921875e-05, 5.9723854064941406e-05, 5.608797073364258e-05, 5.346536636352539e-05, 5.316734313964844e-05, 5.2809715270996094e-05, 4.762411117553711e-05, 4.678964614868164e-05, 4.51207160949707e-05, 4.464387893676758e-05, 3.695487976074219e-05, 3.5822391510009766e-05, 3.546476364135742e-05, 3.528594970703125e-05, 3.504753112792969e-05, 3.415346145629883e-05, 3.3020973205566406e-05, 3.272294998168945e-05, 3.141164779663086e-05, 3.141164779663086e-05, 3.0875205993652344e-05, 3.075599670410156e-05, 2.9742717742919922e-05, 2.9206275939941406e-05, 2.9087066650390625e-05, 2.8431415557861328e-05, 2.3365020751953125e-05, 0.001953125]]","[[3084, 9904, 36948, 14541, 7199, 13449, 3216, 14783, 10932, 487, 440, 100, 22491, 975, 46659, 116, 29802, 32541, 41010, 243, 133, 16991, 250, 39254, 35882, 50118, 46236, 2362, 8346, 14563, 1711, 32523, 1185, 19847, 19897, 4420, 9690, 6766, 1121, 7516, 1106, 13984, 1640, 32458, 2895, 17425, 33082, 33567, 2264, 31535]]"
"[""{The game's up.} question: {The game keeps going.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 177, 18, 62, 49463, 864, 35, 25522, 133, 177, 4719, 164, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[2],"[[0.51171875, 0.480712890625, 0.0004055500030517578, 0.0003571510314941406, 0.0003104209899902344, 0.0002987384796142578, 0.00027680397033691406, 0.00021314620971679688, 0.00020587444305419922, 0.0001989603042602539, 0.00018715858459472656, 0.00017559528350830078, 0.00014317035675048828, 0.00011897087097167969, 0.00011199712753295898, 0.00011050701141357422, 9.840726852416992e-05, 8.511543273925781e-05, 8.231401443481445e-05, 7.539987564086914e-05, 7.265806198120117e-05, 7.212162017822266e-05, 6.347894668579102e-05, 6.306171417236328e-05, 6.22868537902832e-05, 6.204843521118164e-05, 5.84721565246582e-05, 5.608797073364258e-05, 5.316734313964844e-05, 5.263090133666992e-05, 5.239248275756836e-05, 5.137920379638672e-05, 5.0902366638183594e-05, 5.0067901611328125e-05, 4.5299530029296875e-05, 4.4405460357666016e-05, 4.404783248901367e-05, 4.357099533081055e-05, 4.273653030395508e-05, 4.166364669799805e-05, 4.13060188293457e-05, 3.8564205169677734e-05, 3.6597251892089844e-05, 3.600120544433594e-05, 3.4928321838378906e-05, 3.331899642944336e-05, 3.24249267578125e-05, 3.230571746826172e-05, 3.1888484954833984e-05, 3.0338764190673828e-05, 0.00244140625]]","[[3084, 9904, 14783, 14541, 7199, 975, 487, 36948, 46236, 13449, 100, 10932, 32541, 3216, 41010, 22491, 243, 440, 7516, 46659, 133, 32523, 250, 1185, 33082, 1106, 1711, 29774, 35882, 9690, 2362, 8346, 1640, 116, 37478, 14563, 1121, 19847, 17425, 2895, 29802, 50118, 12350, 3849, 37128, 6766, 26752, 2264, 10643, 2709]]"
"[""{Nobody pointed out that at Chappaquiddick, unlike Dallas and Los Angeles, the person most responsible for the tragedy was a Kennedy, whereas the victim was not--and that Ted Kennedy's invocation of the family curse was a clever way of papering over these differences.} question: {Ted Kennedy invoked a family curse that has plagued the Kennedys.} Yes or No? answer: Ġ""]","[[2, 45152, 18975, 3273, 66, 14, 23, 732, 22181, 2253, 6502, 1758, 6, 7328, 3160, 8, 1287, 1422, 6, 5, 621, 144, 2149, 13, 5, 6906, 21, 10, 5076, 6, 9641, 5, 1802, 21, 45, 5579, 463, 14, 8115, 5076, 18, 44885, 9, 5, 284, 26020, 21, 10, 13074, 169, 9, 13102, 2961, 81, 209, 5550, 49463, 864, 35, 25522, 40348, 5076, 29198, 10, 284, 26020, 14, 34, 16145, 5, 19082, 196, 2459, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[3],"[[0.83837890625, 0.1561279296875, 0.0004565715789794922, 0.0003533363342285156, 0.0003159046173095703, 0.00023221969604492188, 0.00022542476654052734, 0.0002218484878540039, 0.00017309188842773438, 0.00016677379608154297, 0.00014460086822509766, 0.00010800361633300781, 8.749961853027344e-05, 7.265806198120117e-05, 7.158517837524414e-05, 6.92605972290039e-05, 6.449222564697266e-05, 6.395578384399414e-05, 6.300210952758789e-05, 6.181001663208008e-05, 5.40614128112793e-05, 5.352497100830078e-05, 5.2034854888916016e-05, 5.1975250244140625e-05, 5.042552947998047e-05, 4.8279762268066406e-05, 4.374980926513672e-05, 4.3511390686035156e-05, 4.214048385620117e-05, 4.0590763092041016e-05, 4.0531158447265625e-05, 3.7550926208496094e-05, 3.248453140258789e-05, 2.9861927032470703e-05, 2.9087066650390625e-05, 2.8192996978759766e-05, 2.7835369110107422e-05, 2.676248550415039e-05, 2.5451183319091797e-05, 2.5153160095214844e-05, 2.3484230041503906e-05, 2.3066997528076172e-05, 2.1278858184814453e-05, 2.0742416381835938e-05, 2.0682811737060547e-05, 2.0205974578857422e-05, 1.996755599975586e-05, 1.9371509552001953e-05, 1.9252300262451172e-05, 1.9252300262451172e-05, 0.00146484375]]","[[9904, 3084, 10932, 3216, 14541, 7199, 975, 36948, 41010, 100, 14783, 116, 35882, 32541, 13449, 50118, 32458, 46236, 250, 243, 32523, 16991, 2895, 9690, 133, 487, 4420, 8346, 440, 1121, 29802, 1711, 4056, 1185, 3849, 32476, 25101, 46659, 10975, 17, 7516, 22491, 39254, 1106, 1640, 12350, 14563, 2362, 713, 17425]]"
"['{Check with the tourist information centers for details about these and similar events at Dalemain, Holker Hall, and Muncaster Castle.} question: {The tourist information centers have information about events at Holker Hall.} Yes or No? answer: Ġ']","[[2, 45152, 26615, 19, 5, 8376, 335, 5228, 13, 1254, 59, 209, 8, 1122, 1061, 23, 7853, 991, 1851, 6, 6217, 5029, 1631, 6, 8, 6760, 15543, 8834, 49463, 864, 35, 25522, 133, 8376, 335, 5228, 33, 335, 59, 1061, 23, 6217, 5029, 1631, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[4],"[[0.88818359375, 0.10784912109375, 0.0003256797790527344, 0.0003018379211425781, 0.0002951622009277344, 0.00019419193267822266, 0.00017690658569335938, 0.0001518726348876953, 0.00013339519500732422, 0.00011181831359863281, 0.00010395050048828125, 7.337331771850586e-05, 5.805492401123047e-05, 5.316734313964844e-05, 5.251169204711914e-05, 4.6312808990478516e-05, 4.2378902435302734e-05, 4.178285598754883e-05, 4.1544437408447266e-05, 4.035234451293945e-05, 3.892183303833008e-05, 3.62396240234375e-05, 3.415346145629883e-05, 2.5451183319091797e-05, 2.485513687133789e-05, 2.4139881134033203e-05, 2.390146255493164e-05, 2.372264862060547e-05, 2.3365020751953125e-05, 2.2649765014648438e-05, 2.2590160369873047e-05, 2.2470951080322266e-05, 1.919269561767578e-05, 1.9073486328125e-05, 1.8835067749023438e-05, 1.823902130126953e-05, 1.823902130126953e-05, 1.800060272216797e-05, 1.7702579498291016e-05, 1.7583370208740234e-05, 1.7404556274414062e-05, 1.6570091247558594e-05, 1.6033649444580078e-05, 1.5974044799804688e-05, 1.5616416931152344e-05, 1.4722347259521484e-05, 1.4603137969970703e-05, 1.33514404296875e-05, 1.245737075805664e-05, 1.2278556823730469e-05, 0.0009765625]]","[[9904, 3084, 10932, 3216, 975, 41010, 36948, 14783, 14541, 7199, 46236, 32541, 100, 4420, 50118, 46659, 487, 13449, 250, 35882, 32523, 3849, 2895, 33082, 9690, 243, 133, 43429, 1121, 29802, 12350, 16991, 1106, 440, 14563, 1185, 7516, 8346, 1711, 4056, 26752, 25101, 13987, 116, 32458, 1640, 13984, 33567, 17425, 3684]]"
"['{He set up a national e-mail tree designed to get people to send their friends in Iowa to Ames as Forbes supporters.} question: {He wanted to set up a national e-mail tree, but gave up halfway.} Yes or No? answer: Ġ']","[[2, 45152, 894, 278, 62, 10, 632, 364, 12, 6380, 3907, 1887, 7, 120, 82, 7, 2142, 49, 964, 11, 4109, 7, 32456, 25, 11519, 2732, 49463, 864, 35, 25522, 894, 770, 7, 278, 62, 10, 632, 364, 12, 6380, 3907, 6, 53, 851, 62, 13177, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[5],"[[0.70166015625, 0.29150390625, 0.0005741119384765625, 0.0004153251647949219, 0.0002906322479248047, 0.00027871131896972656, 0.0002624988555908203, 0.00021755695343017578, 0.0001990795135498047, 0.0001806020736694336, 0.00013196468353271484, 0.00012636184692382812, 0.00011354684829711914, 0.00011140108108520508, 9.655952453613281e-05, 9.28044319152832e-05, 8.83936882019043e-05, 8.755922317504883e-05, 8.493661880493164e-05, 7.092952728271484e-05, 6.937980651855469e-05, 6.759166717529297e-05, 6.693601608276367e-05, 6.127357482910156e-05, 5.65648078918457e-05, 5.5909156799316406e-05, 5.21540641784668e-05, 5.054473876953125e-05, 5.0008296966552734e-05, 4.7087669372558594e-05, 4.082918167114258e-05, 4.0471553802490234e-05, 3.832578659057617e-05, 3.784894943237305e-05, 3.737211227416992e-05, 3.68952751159668e-05, 3.5822391510009766e-05, 3.510713577270508e-05, 3.445148468017578e-05, 3.403425216674805e-05, 3.319978713989258e-05, 3.123283386230469e-05, 3.0517578125e-05, 2.9981136322021484e-05, 2.86102294921875e-05, 2.855062484741211e-05, 2.8192996978759766e-05, 2.8073787689208984e-05, 2.759695053100586e-05, 2.753734588623047e-05, 0.001953125]]","[[3084, 9904, 14541, 7199, 14783, 487, 13449, 100, 36948, 440, 35882, 10932, 3216, 975, 46659, 116, 243, 22491, 46236, 29802, 14563, 250, 7516, 32541, 2362, 133, 41010, 4056, 50118, 8346, 1185, 16991, 1711, 2895, 1121, 6766, 33082, 1640, 32458, 9690, 3849, 20328, 31535, 32523, 1106, 39254, 48117, 26752, 17425, 19847]]"
"[""{The English philanthropist visited the city several times and organized the construction of Mishkenot Sha'ananim, a row of dwellings built to encourage Jews to move from the overcrowded Jewish Quarter of the Old Cityto more modern and healthy places outside the walls.} question: {Mishkenot Sha'ananim was constructed by an English philanthropist.} Yes or No? answer: Ġ""]","[[2, 45152, 133, 2370, 14054, 661, 3790, 5, 343, 484, 498, 8, 5798, 5, 1663, 9, 22975, 6944, 1242, 10319, 108, 260, 25042, 6, 10, 3236, 9, 37324, 1490, 7, 3803, 8609, 7, 517, 31, 5, 22002, 196, 4586, 10830, 9, 5, 3470, 412, 560, 55, 2297, 8, 2245, 2127, 751, 5, 6347, 49463, 864, 35, 25522, 448, 1173, 6944, 1242, 10319, 108, 260, 25042, 21, 11236, 30, 41, 2370, 14054, 661, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[6],"[[0.9189453125, 0.07855224609375, 0.00030040740966796875, 0.0002429485321044922, 0.0002162456512451172, 0.00013184547424316406, 0.00010085105895996094, 9.542703628540039e-05, 6.645917892456055e-05, 4.780292510986328e-05, 4.5359134674072266e-05, 3.635883331298828e-05, 3.4868717193603516e-05, 3.439188003540039e-05, 3.421306610107422e-05, 3.415346145629883e-05, 3.337860107421875e-05, 2.7000904083251953e-05, 2.682209014892578e-05, 2.473592758178711e-05, 2.3543834686279297e-05, 2.2530555725097656e-05, 1.823902130126953e-05, 1.806020736694336e-05, 1.7464160919189453e-05, 1.6748905181884766e-05, 1.615285873413086e-05, 1.5854835510253906e-05, 1.519918441772461e-05, 1.4901161193847656e-05, 1.4662742614746094e-05, 1.3947486877441406e-05, 1.3887882232666016e-05, 1.2099742889404297e-05, 1.1742115020751953e-05, 1.1682510375976562e-05, 1.1146068572998047e-05, 1.0013580322265625e-05, 9.357929229736328e-06, 9.059906005859375e-06, 8.881092071533203e-06, 8.285045623779297e-06, 7.987022399902344e-06, 7.927417755126953e-06, 7.927417755126953e-06, 7.808208465576172e-06, 7.68899917602539e-06, 7.569789886474609e-06, 7.569789886474609e-06, 7.450580596923828e-06, 0.00048828125]]","[[9904, 3084, 3216, 975, 10932, 36948, 41010, 7199, 14783, 14541, 46236, 250, 4420, 32541, 100, 487, 16991, 133, 1121, 2895, 46659, 243, 35882, 50118, 32523, 14563, 13449, 12350, 25101, 9690, 29802, 3849, 43429, 32458, 440, 1711, 8346, 10004, 13987, 894, 33567, 4056, 1185, 13984, 113, 7516, 1106, 510, 39254, 30558]]"
"['{Since NOx emissions result in formation of ground-level ozone, reducing NOx emissions will reduce ozone levels and thus reduce the deleterious effects of ozone on human health and ecosystems.} question: {The formation of ground level ozone is affected by NOx emissions.} Yes or No? answer: Ġ']","[[2, 45152, 11321, 8228, 1178, 5035, 898, 11, 9285, 9, 1255, 12, 4483, 34011, 6, 4881, 8228, 1178, 5035, 40, 1888, 34011, 1389, 8, 4634, 1888, 5, 32169, 1334, 6514, 3038, 9, 34011, 15, 1050, 474, 8, 24843, 49463, 864, 35, 25522, 133, 9285, 9, 1255, 672, 34011, 16, 2132, 30, 8228, 1178, 5035, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[7],"[[0.74755859375, 0.2481689453125, 0.0006151199340820312, 0.0003173351287841797, 0.00022852420806884766, 0.00022292137145996094, 0.0002104043960571289, 0.00019371509552001953, 0.00016558170318603516, 0.0001157522201538086, 8.058547973632812e-05, 7.31348991394043e-05, 6.479024887084961e-05, 6.461143493652344e-05, 5.620718002319336e-05, 5.233287811279297e-05, 4.887580871582031e-05, 4.774332046508789e-05, 4.4226646423339844e-05, 4.404783248901367e-05, 3.832578659057617e-05, 3.719329833984375e-05, 3.5703182220458984e-05, 3.3915042877197266e-05, 3.135204315185547e-05, 3.0100345611572266e-05, 2.7358531951904297e-05, 2.5331974029541016e-05, 2.3663043975830078e-05, 2.2530555725097656e-05, 2.2113323211669922e-05, 2.1457672119140625e-05, 2.1338462829589844e-05, 2.086162567138672e-05, 2.0205974578857422e-05, 2.008676528930664e-05, 1.901388168334961e-05, 1.8417835235595703e-05, 1.8298625946044922e-05, 1.7583370208740234e-05, 1.5854835510253906e-05, 1.4662742614746094e-05, 1.4662742614746094e-05, 1.424551010131836e-05, 1.424551010131836e-05, 1.4066696166992188e-05, 1.3887882232666016e-05, 1.3232231140136719e-05, 1.2040138244628906e-05, 1.150369644165039e-05, 0.0009765625]]","[[9904, 3084, 10932, 36948, 3216, 41010, 13449, 975, 14783, 7199, 14541, 100, 487, 4420, 16991, 250, 46659, 46236, 133, 32541, 14563, 1121, 2362, 440, 35882, 243, 32523, 12350, 50118, 2895, 17425, 37128, 33567, 8346, 43429, 7516, 3849, 9690, 1106, 39254, 30558, 1711, 1185, 13984, 33082, 29802, 116, 25101, 42025, 29774]]"
"['{Thus, in 1997, on average, households made less than one payment by mail for every two bills received in the mail.} question: {Households make 80% of their payments by mail.} Yes or No? answer: Ġ']","[[2, 45152, 42702, 6, 11, 7528, 6, 15, 674, 6, 8195, 156, 540, 87, 65, 3207, 30, 7107, 13, 358, 80, 4033, 829, 11, 5, 7107, 49463, 864, 35, 25522, 18691, 4208, 29, 146, 1812, 207, 9, 49, 3081, 30, 7107, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[8],"[[0.57470703125, 0.417724609375, 0.0005807876586914062, 0.0003447532653808594, 0.0003306865692138672, 0.0002124309539794922, 0.00021028518676757812, 0.00018537044525146484, 0.00018417835235595703, 0.00015616416931152344, 0.00014007091522216797, 0.00013518333435058594, 0.00012564659118652344, 0.0001176595687866211, 0.00010901689529418945, 8.976459503173828e-05, 8.7738037109375e-05, 8.660554885864258e-05, 8.088350296020508e-05, 7.95125961303711e-05, 7.796287536621094e-05, 7.671117782592773e-05, 7.265806198120117e-05, 7.259845733642578e-05, 7.253885269165039e-05, 7.081031799316406e-05, 6.61611557006836e-05, 6.318092346191406e-05, 6.121397018432617e-05, 5.817413330078125e-05, 5.811452865600586e-05, 5.7578086853027344e-05, 5.555152893066406e-05, 4.571676254272461e-05, 4.2438507080078125e-05, 4.178285598754883e-05, 3.6597251892089844e-05, 3.5822391510009766e-05, 3.5762786865234375e-05, 3.319978713989258e-05, 3.3020973205566406e-05, 3.2782554626464844e-05, 3.260374069213867e-05, 3.170967102050781e-05, 3.159046173095703e-05, 3.0994415283203125e-05, 2.9802322387695312e-05, 2.872943878173828e-05, 2.849102020263672e-05, 2.7954578399658203e-05, 0.0029296875]]","[[3084, 9904, 36948, 7199, 13449, 487, 46659, 14783, 10932, 41010, 975, 14541, 100, 3216, 3849, 46236, 133, 250, 14563, 440, 4056, 2895, 29802, 32541, 22491, 35882, 116, 243, 1121, 2362, 37128, 9690, 50118, 1711, 32523, 33567, 25101, 8346, 1640, 649, 17425, 33082, 26752, 16991, 19933, 7516, 1185, 30558, 12350, 19897]]"
"[""{Mary and John stand on either side of the crucified Jesus upheld by his Father, while the dove of the Holy Spirit hovers between them, the whole forming an inspiring triangle under the coffered ceiling of a Renaissance chapel.} question: {Only Jesus, alone on the cross, is depicted on the chapel's ceiling.} Yes or No? answer: Ġ""]","[[2, 45152, 24877, 8, 610, 1413, 15, 1169, 526, 9, 5, 40101, 3786, 5772, 14817, 30, 39, 9510, 6, 150, 5, 27764, 9, 5, 8427, 11758, 9379, 3697, 227, 106, 6, 5, 1086, 12748, 41, 11653, 29884, 223, 5, 32718, 3215, 9920, 9, 10, 19797, 27070, 49463, 864, 35, 25522, 19933, 5772, 6, 1937, 15, 5, 2116, 6, 16, 21520, 15, 5, 27070, 18, 9920, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[1],[1],[9],"[[0.5302734375, 0.462890625, 0.0002906322479248047, 0.0002791881561279297, 0.0002727508544921875, 0.0002713203430175781, 0.00026798248291015625, 0.00025081634521484375, 0.0001983642578125, 0.00018525123596191406, 0.00018012523651123047, 0.00017905235290527344, 0.00014913082122802734, 0.00012350082397460938, 0.00011366605758666992, 9.85264778137207e-05, 9.500980377197266e-05, 8.988380432128906e-05, 8.20159912109375e-05, 7.766485214233398e-05, 7.557868957519531e-05, 7.522106170654297e-05, 7.110834121704102e-05, 5.698204040527344e-05, 5.40614128112793e-05, 5.155801773071289e-05, 4.506111145019531e-05, 4.500150680541992e-05, 4.380941390991211e-05, 4.3511390686035156e-05, 4.178285598754883e-05, 4.00543212890625e-05, 3.784894943237305e-05, 3.5762786865234375e-05, 3.5703182220458984e-05, 3.540515899658203e-05, 3.4868717193603516e-05, 3.0517578125e-05, 2.950429916381836e-05, 2.8967857360839844e-05, 2.8133392333984375e-05, 2.8014183044433594e-05, 2.7239322662353516e-05, 2.7060508728027344e-05, 2.6047229766845703e-05, 2.5153160095214844e-05, 2.5153160095214844e-05, 2.4974346160888672e-05, 2.485513687133789e-05, 2.4497509002685547e-05, 0.00244140625]]","[[3084, 9904, 10932, 7199, 3216, 36948, 13449, 487, 440, 975, 14541, 14783, 100, 41010, 16991, 50118, 250, 46659, 133, 243, 46236, 29802, 2362, 32541, 14563, 116, 39254, 19933, 7516, 1121, 32523, 3849, 1711, 1185, 4420, 4056, 22491, 1106, 2264, 8346, 12350, 1640, 35882, 6766, 2895, 33082, 17425, 9690, 3684, 113]]"
"[""{'Think about what you're doing,' I implored.} question: {I told him to think about his actions.} Yes or No? answer: Ġ""]","[[2, 45152, 108, 26644, 59, 99, 47, 214, 608, 1598, 38, 12956, 3995, 49463, 864, 35, 25522, 100, 174, 123, 7, 206, 59, 39, 2163, 49463, 3216, 50, 440, 116, 1948, 35, 4236, 21402]]","[[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]]",[0],[1],[10],"[[0.8896484375, 0.1031494140625, 0.000545501708984375, 0.0004520416259765625, 0.0004317760467529297, 0.0003199577331542969, 0.0002810955047607422, 0.00021028518676757812, 0.0001976490020751953, 0.00018966197967529297, 0.00018489360809326172, 0.0001373291015625, 0.000133514404296875, 9.85860824584961e-05, 9.238719940185547e-05, 9.119510650634766e-05, 8.958578109741211e-05, 8.565187454223633e-05, 7.301568984985352e-05, 7.301568984985352e-05, 6.902217864990234e-05, 6.264448165893555e-05, 6.002187728881836e-05, 5.733966827392578e-05, 5.638599395751953e-05, 5.358457565307617e-05, 5.0067901611328125e-05, 4.678964614868164e-05, 4.2438507080078125e-05, 4.202127456665039e-05, 4.118680953979492e-05, 4.011392593383789e-05, 3.916025161743164e-05, 3.7670135498046875e-05, 3.7610530853271484e-05, 3.713369369506836e-05, 3.612041473388672e-05, 3.361701965332031e-05, 3.11732292175293e-05, 3.0875205993652344e-05, 3.057718276977539e-05, 2.944469451904297e-05, 2.9265880584716797e-05, 2.866983413696289e-05, 2.8431415557861328e-05, 2.8312206268310547e-05, 2.765655517578125e-05, 2.658367156982422e-05, 2.5570392608642578e-05, 2.5212764739990234e-05, 0.00244140625]]","[[9904, 3084, 10932, 14783, 975, 14541, 100, 32541, 36948, 7199, 3216, 41010, 46236, 32523, 243, 33082, 8346, 1185, 487, 250, 35882, 1711, 2264, 13449, 7516, 12350, 113, 133, 1106, 22491, 16991, 116, 4420, 32458, 19897, 13987, 13984, 894, 19847, 1121, 50118, 108, 31414, 17425, 7608, 43429, 9690, 26752, 2895, 42903]]"
