Value,Index
0.30658647418022156,50
0.2942964434623718,440
0.2881923317909241,1948
0.25388386845588684,116
0.23792807757854462,3216
0.22190912067890167,49463
0.21419252455234528,21402
0.1982325166463852,35
0.19538284838199615,4236
0.1931188553571701,2
0.18414826691150665,25522
0.18213523924350739,42803
0.17946934700012207,864
0.17904652655124664,224
0.1749623864889145,35524
0.17146071791648865,3829
0.1699877232313156,1437
0.1665825992822647,109
0.16382953524589539,45
0.1564692109823227,144
0.15632954239845276,4909
0.15462806820869446,3867
0.15431606769561768,98
0.15415890514850616,206
0.1532013714313507,45152
0.14730550348758698,1200
0.1466609388589859,24
0.1462719589471817,100
0.14619939029216766,24303
0.14556342363357544,11
0.1432204246520996,269
0.1415325403213501,2321
0.14152976870536804,4070
0.1389797031879425,11952
0.13890759646892548,18765
0.1366315484046936,33
0.1364639550447464,4
0.13312721252441406,71
0.1323579102754593,5
0.13063892722129822,2141
0.13027943670749664,133
0.12773022055625916,3084
0.12726713716983795,11277
0.1271449774503708,1638
0.12696757912635803,1017
0.12654341757297516,7
0.12652510404586792,939
0.12505899369716644,2173
0.1249726265668869,7836
0.12352672964334488,38286
0.1233004704117775,37
0.12329951673746109,7252
0.12329759448766708,117
0.12303965538740158,9
0.12273342162370682,222
0.12216277420520782,1554
0.122012659907341,765
0.12194003164768219,11121
0.1218203455209732,19
0.12133722007274628,8239
0.12079262733459473,7180
0.12018188089132309,694
0.11958063393831253,9875
0.11957988888025284,487
0.11746770143508911,3823
0.11668350547552109,14
0.11473102867603302,216
0.11282144486904144,8
0.11245740950107574,101
0.11160540580749512,18
0.1100882887840271,16
0.10996976494789124,95
0.10931484401226044,6
0.1085544005036354,970
0.10838667303323746,685
0.10820174962282181,75
0.10811764001846313,2230
0.1071489006280899,857
0.10624411702156067,58
0.10534405708312988,42
0.10528066754341125,4009
0.10525669902563095,21
0.10320562869310379,1266
0.10317689925432205,1381
0.10314159840345383,1265
0.10301794856786728,137
0.10247229039669037,99
0.10125380009412766,5836
0.10119203478097916,27369
0.10085718333721161,1286
0.10067802667617798,64
0.10041051357984543,435
0.10027427226305008,76
0.10011714696884155,8572
0.09990501403808594,12356
0.09982629865407944,47
0.09867145121097565,2957
0.098111093044281,1767
0.09803886711597443,2909
0.09748831391334534,1030
0.0971158966422081,53
0.09700402617454529,2710
0.09699031710624695,34
0.09698706120252609,12
0.09654929488897324,1759
0.09632612019777298,298
0.09623789042234421,135
0.09615101665258408,1159
0.0958278700709343,277
0.09576582163572311,3337
0.09545177966356277,1185
0.09479347616434097,1070
0.09455840289592743,51
0.0945529118180275,233
0.0944773480296135,348
0.09429506957530975,36
0.09397324174642563,289
0.09377757459878922,3788
0.09347784519195557,49
0.09341678768396378,5335
0.09296805411577225,1713
0.092820905148983,86
0.09273448586463928,793
0.0923592746257782,9227
0.09222829341888428,106
0.09215374290943146,1213
0.09212762117385864,842
0.09191366285085678,1010
0.09179233759641647,4744
0.09155210107564926,2034
0.09058836847543716,145
0.09050843119621277,16426
0.09045687317848206,615
0.09043481200933456,7763
0.09036280959844589,5207
0.09030083566904068,23
0.0901060700416565,94
0.08999776840209961,2767
0.08886143565177917,10
0.08880244940519333,1139
0.08844330906867981,655
0.08834299445152283,6640
0.08818890154361725,402
0.08813020586967468,253
0.08799245953559875,770
0.08787259459495544,3757
0.08777912706136703,22653
0.08749161660671234,3684
0.08745613694190979,198
0.08742757886648178,5466
0.0873698815703392,2352
0.0873158648610115,12619
0.08727461844682693,9368
0.08695870637893677,1872
0.0869288221001625,17067
0.08689935505390167,921
0.08681995421648026,3817
0.08651482313871384,22950
0.08637647330760956,1113
0.08620881289243698,5128
0.08606729656457901,30
0.08605960756540298,1798
0.08589361608028412,42991
